"module name","name","version","description","licenses","licenseFile","licenseModified"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","@babel/plugin-syntax-nullish-coalescing-operator","7.8.3","Allow parsing of the nullish-coalescing operator","MIT","node_modules/@babel/plugin-syntax-nullish-coalescing-operator/LICENSE",""
"@babel/plugin-syntax-numeric-separator@7.10.4","@babel/plugin-syntax-numeric-separator","7.10.4","Allow parsing of Decimal, Binary, Hex and Octal literals that contain a Numeric Literal Separator","MIT","node_modules/@babel/plugin-syntax-numeric-separator/LICENSE",""
"@babel/plugin-syntax-object-rest-spread@7.8.3","@babel/plugin-syntax-object-rest-spread","7.8.3","Allow parsing of object rest/spread","MIT","node_modules/@babel/plugin-syntax-object-rest-spread/LICENSE",""
"@babel/plugin-syntax-optional-catch-binding@7.8.3","@babel/plugin-syntax-optional-catch-binding","7.8.3","Allow parsing of optional catch bindings","MIT","node_modules/@babel/plugin-syntax-optional-catch-binding/LICENSE",""
"@babel/plugin-syntax-optional-chaining@7.8.3","@babel/plugin-syntax-optional-chaining","7.8.3","Allow parsing of optional properties","MIT","node_modules/@babel/plugin-syntax-optional-chaining/LICENSE",""
"@babel/plugin-syntax-top-level-await@7.14.5","@babel/plugin-syntax-top-level-await","7.14.5","Allow parsing of top-level await in modules","MIT","node_modules/@babel/plugin-syntax-top-level-await/LICENSE",""
"@babel/plugin-syntax-typescript@7.20.0","@babel/plugin-syntax-typescript","7.20.0","Allow parsing of TypeScript syntax","MIT","node_modules/@babel/plugin-syntax-typescript/LICENSE",""
"@babel/template@7.20.7","@babel/template","7.20.7","Generate an AST from a string template.","MIT","node_modules/@babel/template/LICENSE",""
"@babel/traverse@7.20.10","@babel/traverse","7.20.10","The Babel Traverse module maintains the overall tree state, and is responsible for replacing, removing, and adding nodes","MIT","node_modules/@babel/traverse/LICENSE",""
"@babel/types@7.20.7","@babel/types","7.20.7","Babel Types is a Lodash-esque utility library for AST nodes","MIT","node_modules/@babel/types/LICENSE",""
"@bcoe/v8-coverage@0.2.3","@bcoe/v8-coverage","0.2.3","Helper functions for V8 coverage files.","MIT","node_modules/@bcoe/v8-coverage/LICENSE.md",""
"@cspotcode/source-map-support@0.8.1","@cspotcode/source-map-support","0.8.1","Fixes stack traces for files with source maps","MIT","node_modules/@cspotcode/source-map-support/LICENSE.md",""
"@istanbuljs/load-nyc-config@1.1.0","@istanbuljs/load-nyc-config","1.1.0","Utility function to load nyc configuration","ISC","node_modules/@istanbuljs/load-nyc-config/LICENSE",""
"@istanbuljs/schema@0.1.3","@istanbuljs/schema","0.1.3","Schemas describing various structures used by nyc and istanbuljs","MIT","node_modules/@istanbuljs/schema/LICENSE",""
"@jest/console@29.3.1","@jest/console","29.3.1","","MIT","node_modules/@jest/console/LICENSE",""
"@jest/core@29.3.1","@jest/core","29.3.1","Delightful JavaScript Testing.","MIT","node_modules/@jest/core/LICENSE",""
"@jest/environment@29.3.1","@jest/environment","29.3.1","","MIT","node_modules/@jest/environment/LICENSE",""
"@jest/expect-utils@29.3.1","@jest/expect-utils","29.3.1","This module exports some utils for the `expect` function used in [Jest](https://jestjs.io/).","MIT","node_modules/@jest/expect-utils/LICENSE",""
"@jest/expect@29.3.1","@jest/expect","29.3.1","This package extends `expect` library with `jest-snapshot` matchers. It exports `jestExpect` object, which can be used as standalone replacement of `expect`.","MIT","node_modules/@jest/expect/LICENSE",""
"@jest/fake-timers@29.3.1","@jest/fake-timers","29.3.1","","MIT","node_modules/@jest/fake-timers/LICENSE",""
"@jest/globals@29.3.1","@jest/globals","29.3.1","","MIT","node_modules/@jest/globals/LICENSE",""
"@jest/reporters@29.3.1","@jest/reporters","29.3.1","Jest's reporters","MIT","node_modules/@jest/reporters/LICENSE",""
"@jest/schemas@29.0.0","@jest/schemas","29.0.0","Experimental and currently incomplete module for JSON schemas for [Jest's](https://jestjs.io/) configuration.","MIT","node_modules/@jest/schemas/LICENSE",""
"@jest/source-map@29.2.0","@jest/source-map","29.2.0","","MIT","node_modules/@jest/source-map/LICENSE",""
"@jest/test-result@29.3.1","@jest/test-result","29.3.1","","MIT","node_modules/@jest/test-result/LICENSE",""
"@jest/test-sequencer@29.3.1","@jest/test-sequencer","29.3.1","","MIT","node_modules/@jest/test-sequencer/LICENSE",""
"@jest/transform@29.3.1","@jest/transform","29.3.1","","MIT","node_modules/@jest/transform/LICENSE",""
"@jest/types@29.3.1","@jest/types","29.3.1","This package contains shared types of Jest's packages.","MIT","node_modules/@jest/types/LICENSE",""
"@jridgewell/gen-mapping@0.1.1","@jridgewell/gen-mapping","0.1.1","Generate source maps","MIT","node_modules/@jridgewell/gen-mapping/LICENSE",""
"@jridgewell/gen-mapping@0.3.2","@jridgewell/gen-mapping","0.3.2","Generate source maps","MIT","node_modules/@babel/generator/node_modules/@jridgewell/gen-mapping/LICENSE",""
"@jridgewell/resolve-uri@3.1.0","@jridgewell/resolve-uri","3.1.0","Resolve a URI relative to an optional base URI","MIT","node_modules/@jridgewell/resolve-uri/LICENSE",""
"@jridgewell/set-array@1.1.2","@jridgewell/set-array","1.1.2","Like a Set, but provides the index of the `key` in the backing array","MIT","node_modules/@jridgewell/set-array/LICENSE",""
"@jridgewell/sourcemap-codec@1.4.14","@jridgewell/sourcemap-codec","1.4.14","Encode/decode sourcemap mappings","MIT","node_modules/@jridgewell/sourcemap-codec/LICENSE",""
"@jridgewell/trace-mapping@0.3.17","@jridgewell/trace-mapping","0.3.17","Trace the original position through a source map","MIT","node_modules/@jridgewell/trace-mapping/LICENSE",""
"@jridgewell/trace-mapping@0.3.9","@jridgewell/trace-mapping","0.3.9","Trace the original position through a source map","MIT","node_modules/@cspotcode/source-map-support/node_modules/@jridgewell/trace-mapping/LICENSE",""
"@jsdevtools/ono@7.1.3","@jsdevtools/ono","7.1.3","Throw better errors.","MIT","node_modules/@jsdevtools/ono/LICENSE",""
"@jsdoc/salty@0.2.2","@jsdoc/salty","0.2.2","A drop-in replacement for (some of) TaffyDB.","Apache-2.0","node_modules/@jsdoc/salty/LICENSE",""
"@sinclair/typebox@0.24.51","@sinclair/typebox","0.24.51","JSONSchema Type Builder with Static Type Resolution for TypeScript","MIT","node_modules/@sinclair/typebox/license",""
"@sindresorhus/is@0.14.0","@sindresorhus/is","0.14.0","Type check values: `is.string('🦄') //=> true`","MIT","node_modules/@sindresorhus/is/license",""
"@sinonjs/commons@1.8.6","@sinonjs/commons","1.8.6","Simple functions shared among the sinon end user libraries","BSD-3-Clause","node_modules/@sinonjs/commons/LICENSE",""
"@sinonjs/fake-timers@9.1.2","@sinonjs/fake-timers","9.1.2","Fake JavaScript timers","BSD-3-Clause","node_modules/@sinonjs/fake-timers/LICENSE",""
"@szmarczak/http-timer@1.1.2","@szmarczak/http-timer","1.1.2","Timings for HTTP requests","MIT","node_modules/@szmarczak/http-timer/LICENSE",""
"@tsconfig/node10@1.0.9","@tsconfig/node10","1.0.9","A base TSConfig for working with Node 10.","MIT","node_modules/@tsconfig/node10/LICENSE",""
"@tsconfig/node12@1.0.11","@tsconfig/node12","1.0.11","A base TSConfig for working with Node 12.","MIT","node_modules/@tsconfig/node12/LICENSE",""
"@tsconfig/node14@1.0.3","@tsconfig/node14","1.0.3","A base TSConfig for working with Node 14.","MIT","node_modules/@tsconfig/node14/LICENSE",""
"@tsconfig/node16@1.0.3","@tsconfig/node16","1.0.3","A base TSConfig for working with Node 16.","MIT","node_modules/@tsconfig/node16/LICENSE",""
"@types/ajv@1.0.0","@types/ajv","1.0.0","Stub TypeScript definitions entry for ajv, which provides its own types definitions","MIT","node_modules/@types/ajv/README.md",""
"@types/babel__core@7.1.20","@types/babel__core","7.1.20","TypeScript definitions for @babel/core","MIT","node_modules/@types/babel__core/LICENSE",""
"@types/babel__generator@7.6.4","@types/babel__generator","7.6.4","TypeScript definitions for @babel/generator","MIT","node_modules/@types/babel__generator/LICENSE",""
"@types/babel__template@7.4.1","@types/babel__template","7.4.1","TypeScript definitions for @babel/template","MIT","node_modules/@types/babel__template/LICENSE",""
"@types/babel__traverse@7.18.3","@types/babel__traverse","7.18.3","TypeScript definitions for @babel/traverse","MIT","node_modules/@types/babel__traverse/LICENSE",""
"@types/body-parser@1.19.2","@types/body-parser","1.19.2","TypeScript definitions for body-parser","MIT","node_modules/@types/body-parser/LICENSE",""
"@types/connect@3.4.35","@types/connect","3.4.35","TypeScript definitions for connect","MIT","node_modules/@types/connect/LICENSE",""
"@types/cookiejar@2.1.2","@types/cookiejar","2.1.2","TypeScript definitions for CookieJar","MIT","node_modules/@types/cookiejar/LICENSE",""
"@types/dotenv@8.2.0","@types/dotenv","8.2.0","Stub TypeScript definitions entry for dotenv, which provides its own types definitions","MIT","node_modules/@types/dotenv/LICENSE",""
"@types/express-serve-static-core@4.17.31","@types/express-serve-static-core","4.17.31","TypeScript definitions for Express","MIT","node_modules/@types/express-serve-static-core/LICENSE",""
"@types/express@4.17.15","@types/express","4.17.15","TypeScript definitions for Express","MIT","node_modules/@types/express/LICENSE",""
"@types/graceful-fs@4.1.5","@types/graceful-fs","4.1.5","TypeScript definitions for graceful-fs","MIT","node_modules/@types/graceful-fs/LICENSE",""
"@types/istanbul-lib-coverage@2.0.4","@types/istanbul-lib-coverage","2.0.4","TypeScript definitions for istanbul-lib-coverage","MIT","node_modules/@types/istanbul-lib-coverage/LICENSE",""
"@types/istanbul-lib-report@3.0.0","@types/istanbul-lib-report","3.0.0","TypeScript definitions for istanbul-lib-report","MIT","node_modules/@types/istanbul-lib-report/LICENSE",""
"@types/istanbul-reports@3.0.1","@types/istanbul-reports","3.0.1","TypeScript definitions for istanbul-reports","MIT","node_modules/@types/istanbul-reports/LICENSE",""
"@types/jest@29.2.4","@types/jest","29.2.4","TypeScript definitions for Jest","MIT","node_modules/@types/jest/LICENSE",""
"@types/js-yaml@4.0.5","@types/js-yaml","4.0.5","TypeScript definitions for js-yaml","MIT","node_modules/@types/js-yaml/LICENSE",""
"@types/json-schema@7.0.11","@types/json-schema","7.0.11","TypeScript definitions for json-schema 4.0, 6.0 and","MIT","node_modules/@types/json-schema/LICENSE",""
"@types/linkify-it@3.0.2","@types/linkify-it","3.0.2","TypeScript definitions for linkify-it","MIT","node_modules/@types/linkify-it/LICENSE",""
"@types/markdown-it@12.2.3","@types/markdown-it","12.2.3","TypeScript definitions for markdown-it","MIT","node_modules/@types/markdown-it/LICENSE",""
"@types/mdurl@1.0.2","@types/mdurl","1.0.2","TypeScript definitions for mdurl","MIT","node_modules/@types/mdurl/LICENSE",""
"@types/mime@3.0.1","@types/mime","3.0.1","TypeScript definitions for mime","MIT","node_modules/@types/mime/LICENSE",""
"@types/node@18.11.18","@types/node","18.11.18","TypeScript definitions for Node.js","MIT","node_modules/@types/node/LICENSE",""
"@types/prettier@2.7.2","@types/prettier","2.7.2","TypeScript definitions for prettier","MIT","node_modules/@types/prettier/LICENSE",""
"@types/qs@6.9.7","@types/qs","6.9.7","TypeScript definitions for qs","MIT","node_modules/@types/qs/LICENSE",""
"@types/range-parser@1.2.4","@types/range-parser","1.2.4","TypeScript definitions for range-parser","MIT","node_modules/@types/range-parser/LICENSE",""
"@types/serve-static@1.15.0","@types/serve-static","1.15.0","TypeScript definitions for serve-static","MIT","node_modules/@types/serve-static/LICENSE",""
"@types/stack-utils@2.0.1","@types/stack-utils","2.0.1","TypeScript definitions for stack-utils","MIT","node_modules/@types/stack-utils/LICENSE",""
"@types/superagent@4.1.16","@types/superagent","4.1.16","TypeScript definitions for SuperAgent","MIT","node_modules/@types/superagent/LICENSE",""
"@types/supertest@2.0.12","@types/supertest","2.0.12","TypeScript definitions for SuperTest","MIT","node_modules/@types/supertest/LICENSE",""
"@types/swagger-jsdoc@6.0.1","@types/swagger-jsdoc","6.0.1","TypeScript definitions for swagger-jsdoc","MIT","node_modules/@types/swagger-jsdoc/LICENSE",""
"@types/yamljs@0.2.31","@types/yamljs","0.2.31","TypeScript definitions for yamljs","MIT","node_modules/@types/yamljs/LICENSE",""
"@types/yargs-parser@21.0.0","@types/yargs-parser","21.0.0","TypeScript definitions for yargs-parser","MIT","node_modules/@types/yargs-parser/LICENSE",""
"@types/yargs@17.0.17","@types/yargs","17.0.17","TypeScript definitions for yargs","MIT","node_modules/@types/yargs/LICENSE",""
"abbrev@1.1.1","abbrev","1.1.1","Like ruby's abbrev module, but in js","ISC","node_modules/abbrev/LICENSE",""
"accepts@1.3.8","accepts","1.3.8","Higher-level content negotiation","MIT","node_modules/accepts/LICENSE",""
"acorn-walk@8.2.0","acorn-walk","8.2.0","ECMAScript (ESTree) AST walker","MIT","node_modules/acorn-walk/LICENSE",""
"acorn@8.8.1","acorn","8.8.1","ECMAScript parser","MIT","node_modules/acorn/LICENSE",""
"ajv-formats@2.1.1","ajv-formats","2.1.1","Format validation for Ajv v7+","MIT","node_modules/ajv-formats/LICENSE",""
"ajv@8.11.2","ajv","8.11.2","Another JSON Schema Validator","MIT","node_modules/ajv/LICENSE",""
"ansi-align@3.0.1","ansi-align","3.0.1","align-text with ANSI support for CLIs","ISC","node_modules/ansi-align/LICENSE",""
"ansi-escapes@4.3.2","ansi-escapes","4.3.2","ANSI escape codes for manipulating the terminal","MIT","node_modules/ansi-escapes/license",""
"ansi-regex@5.0.1","ansi-regex","5.0.1","Regular expression for matching ANSI escape codes","MIT","node_modules/ansi-regex/license",""
"ansi-styles@3.2.1","ansi-styles","3.2.1","ANSI escape codes for styling strings in the terminal","MIT","node_modules/license-checker/node_modules/ansi-styles/license",""
"ansi-styles@4.3.0","ansi-styles","4.3.0","ANSI escape codes for styling strings in the terminal","MIT","node_modules/ansi-styles/license",""
"ansi-styles@5.2.0","ansi-styles","5.2.0","ANSI escape codes for styling strings in the terminal","MIT","node_modules/pretty-format/node_modules/ansi-styles/license",""
"anymatch@3.1.3","anymatch","3.1.3","Matches strings against configurable strings, globs, regular expressions, and/or functions","ISC","node_modules/anymatch/LICENSE",""
"arg@4.1.3","arg","4.1.3","Another simple argument parser","MIT","node_modules/arg/LICENSE.md",""
"argparse@1.0.10","argparse","1.0.10","Very powerful CLI arguments parser. Native port of argparse - python's options parsing library","MIT","node_modules/yamljs/node_modules/argparse/LICENSE",""
"argparse@2.0.1","argparse","2.0.1","CLI arguments parser. Native port of python's argparse.","Python-2.0","node_modules/argparse/LICENSE",""
"array-find-index@1.0.2","array-find-index","1.0.2","ES2015 `Array#findIndex()` ponyfill","MIT","node_modules/array-find-index/license",""
"array-flatten@1.1.1","array-flatten","1.1.1","Flatten an array of nested arrays into a single flat array","MIT","node_modules/array-flatten/LICENSE",""
"asap@2.0.6","asap","2.0.6","High-priority task queue for Node.js and browsers","MIT","node_modules/asap/LICENSE.md",""
"asynckit@0.4.0","asynckit","0.4.0","Minimal async jobs utility library, with streams support","MIT","node_modules/asynckit/LICENSE",""
"axios@1.2.2","axios","1.2.2","Promise based HTTP client for the browser and node.js","MIT","node_modules/axios/LICENSE",""
"babel-jest@29.3.1","babel-jest","29.3.1","Jest plugin to use babel for transformation.","MIT","node_modules/babel-jest/LICENSE",""
"babel-plugin-istanbul@6.1.1","babel-plugin-istanbul","6.1.1","A babel plugin that adds istanbul instrumentation to ES6 code","BSD-3-Clause","node_modules/babel-plugin-istanbul/LICENSE",""
"babel-plugin-jest-hoist@29.2.0","babel-plugin-jest-hoist","29.2.0","Babel plugin to hoist `jest.disableAutomock`, `jest.enableAutomock`, `jest.unmock`, `jest.mock`, calls above `import` statements. This plugin is automatically included when using [babel-jest](https://github.com/facebook/jest/tree/main/packages/babel-jest).","MIT","node_modules/babel-plugin-jest-hoist/LICENSE",""
"babel-preset-current-node-syntax@1.0.1","babel-preset-current-node-syntax","1.0.1","A Babel preset that enables parsing of proposals supported by the current Node.js version.","MIT","node_modules/babel-preset-current-node-syntax/LICENSE",""
"babel-preset-jest@29.2.0","babel-preset-jest","29.2.0","> Babel preset for all Jest plugins. This preset is automatically included when using [babel-jest](https://github.com/facebook/jest/tree/main/packages/babel-jest).","MIT","node_modules/babel-preset-jest/LICENSE",""
"balanced-match@1.0.2","balanced-match","1.0.2","Match balanced character pairs, like "{" and "}"","MIT","node_modules/balanced-match/LICENSE.md",""
"binary-extensions@2.2.0","binary-extensions","2.2.0","List of binary file extensions","MIT","node_modules/binary-extensions/license",""
"bluebird@3.7.2","bluebird","3.7.2","Full featured Promises/A+ implementation with exceptionally good performance","MIT","node_modules/bluebird/LICENSE",""
"body-parser@1.20.1","body-parser","1.20.1","Node.js body parsing middleware","MIT","node_modules/body-parser/LICENSE",""
"boxen@5.1.2","boxen","5.1.2","Create boxes in the terminal","MIT","node_modules/boxen/license",""
"brace-expansion@1.1.11","brace-expansion","1.1.11","Brace expansion as known from sh/bash","MIT","node_modules/brace-expansion/LICENSE",""
"braces@3.0.2","braces","3.0.2","Bash-like brace expansion, implemented in JavaScript. Safer than other brace expansion libs, with complete support for the Bash 4.3 braces specification, without sacrificing speed.","MIT","node_modules/braces/LICENSE",""
"browserslist@4.21.4","browserslist","4.21.4","Share target browsers between different front-end tools, like Autoprefixer, Stylelint and babel-env-preset","MIT","node_modules/browserslist/LICENSE",""
"bs-logger@0.2.6","bs-logger","0.2.6","Bare simple logger for NodeJS","MIT","node_modules/bs-logger/LICENSE",""
"bser@2.1.1","bser","2.1.1","JavaScript implementation of the BSER Binary Serialization","Apache-2.0","node_modules/bser/README.md",""
"buffer-from@1.1.2","buffer-from","1.1.2","A [ponyfill](https://ponyfill.com) for `Buffer.from`, uses native implementation if available.","MIT","node_modules/buffer-from/LICENSE",""
"bytes@3.1.2","bytes","3.1.2","Utility to parse a string bytes to bytes and vice-versa","MIT","node_modules/bytes/LICENSE",""
"cacheable-request@6.1.0","cacheable-request","6.1.0","Wrap native HTTP requests with RFC compliant cache support","MIT","node_modules/cacheable-request/LICENSE",""
"call-bind@1.0.2","call-bind","1.0.2","Robustly `.call.bind()` a function","MIT","node_modules/call-bind/LICENSE",""
"call-me-maybe@1.0.2","call-me-maybe","1.0.2","Let your JS API users either give you a callback or receive a promise","MIT","node_modules/call-me-maybe/LICENSE",""
"callsites@3.1.0","callsites","3.1.0","Get callsites from the V8 stack trace API","MIT","node_modules/callsites/license",""
"camelcase@5.3.1","camelcase","5.3.1","Convert a dash/dot/underscore/space separated string to camelCase or PascalCase: `foo-bar` → `fooBar`","MIT","node_modules/camelcase/license",""
"camelcase@6.3.0","camelcase","6.3.0","Convert a dash/dot/underscore/space separated string to camelCase or PascalCase: `foo-bar` → `fooBar`","MIT","node_modules/jest-validate/node_modules/camelcase/license",""
"caniuse-lite@1.0.30001441","caniuse-lite","1.0.30001441","A smaller version of caniuse-db, with only the essentials!","CC-BY-4.0","node_modules/caniuse-lite/LICENSE",""
"catharsis@0.9.0","catharsis","0.9.0","A JavaScript parser for Google Closure Compiler and JSDoc type expressions.","MIT","node_modules/catharsis/LICENSE",""
"chalk@2.4.2","chalk","2.4.2","Terminal string styling done right","MIT","node_modules/license-checker/node_modules/chalk/license",""
"chalk@4.1.2","chalk","4.1.2","Terminal string styling done right","MIT","node_modules/chalk/license",""
"char-regex@1.0.2","char-regex","1.0.2","A regex to match any full character, considering weird character ranges.","MIT","node_modules/char-regex/LICENSE",""
"chokidar@3.5.3","chokidar","3.5.3","Minimal and efficient cross-platform file watching library","MIT","node_modules/chokidar/LICENSE",""
"ci-info@2.0.0","ci-info","2.0.0","Get details about the current Continuous Integration environment","MIT","node_modules/is-ci/node_modules/ci-info/LICENSE",""
"ci-info@3.7.0","ci-info","3.7.0","Get details about the current Continuous Integration environment","MIT","node_modules/ci-info/LICENSE",""
"cjs-module-lexer@1.2.2","cjs-module-lexer","1.2.2","Lexes CommonJS modules, returning their named exports metadata","MIT","node_modules/cjs-module-lexer/LICENSE",""
"cli-boxes@2.2.1","cli-boxes","2.2.1","Boxes for use in the terminal","MIT","node_modules/cli-boxes/license",""
"cliui@8.0.1","cliui","8.0.1","easily create complex multi-column command-line-interfaces","ISC","node_modules/cliui/LICENSE.txt",""
"clone-response@1.0.3","clone-response","1.0.3","Clone a Node.js HTTP response stream","MIT","node_modules/clone-response/LICENSE",""
"co@4.6.0","co","4.6.0","generator async control flow goodness","MIT","node_modules/co/LICENSE",""
"collect-v8-coverage@1.0.1","collect-v8-coverage","1.0.1","Use this module to start and stop the V8 inspector manually and collect precise coverage.","MIT","node_modules/collect-v8-coverage/LICENSE",""
"color-convert@1.9.3","color-convert","1.9.3","Plain color conversion functions","MIT","node_modules/license-checker/node_modules/color-convert/LICENSE",""
"color-convert@2.0.1","color-convert","2.0.1","Plain color conversion functions","MIT","node_modules/color-convert/LICENSE",""
"color-name@1.1.3","color-name","1.1.3","A list of color names and its values","MIT","node_modules/license-checker/node_modules/color-name/LICENSE",""
"color-name@1.1.4","color-name","1.1.4","A list of color names and its values","MIT","node_modules/color-name/LICENSE",""
"combined-stream@1.0.8","combined-stream","1.0.8","A stream that emits multiple other streams one after another.","MIT","node_modules/combined-stream/License",""
"commander@4.1.1","commander","4.1.1","the complete solution for node.js command-line programs","MIT","node_modules/commander/LICENSE",""
"commander@6.2.0","commander","6.2.0","the complete solution for node.js command-line programs","MIT","node_modules/swagger-jsdoc/node_modules/commander/LICENSE",""
"commander@9.4.1","commander","9.4.1","the complete solution for node.js command-line programs","MIT","node_modules/z-schema/node_modules/commander/LICENSE",""
"component-emitter@1.3.0","component-emitter","1.3.0","Event emitter","MIT","node_modules/component-emitter/LICENSE",""
"concat-map@0.0.1","concat-map","0.0.1","concatenative mapdashery","MIT","node_modules/concat-map/LICENSE",""
"configstore@5.0.1","configstore","5.0.1","Easily load and save config without having to think about where and how","BSD-2-Clause","node_modules/configstore/license",""
"content-disposition@0.5.4","content-disposition","0.5.4","Create and parse Content-Disposition header","MIT","node_modules/content-disposition/LICENSE",""
"content-type@1.0.4","content-type","1.0.4","Create and parse HTTP Content-Type header","MIT","node_modules/content-type/LICENSE",""
"convert-source-map@1.9.0","convert-source-map","1.9.0","Converts a source-map from/to  different formats and allows adding/changing properties.","MIT","node_modules/@babel/core/node_modules/convert-source-map/LICENSE",""
"convert-source-map@2.0.0","convert-source-map","2.0.0","Converts a source-map from/to  different formats and allows adding/changing properties.","MIT","node_modules/convert-source-map/LICENSE",""
"cookie-signature@1.0.6","cookie-signature","1.0.6","Sign and unsign cookies","MIT","node_modules/cookie-signature/Readme.md",""
